Feature,Test_Type,Test_Applied,p_value,Effect_Size_Measure,Effect_Size_Value,Effect_Size_Interpretation,p_value_fdr_corrected,significant_after_fdr
num_arxiv,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.30380147075655967,small,0.0,True
num_dataset,Continuous,Mann-Whitney U,0.07957908032346636,Cliff's Delta,-0.013294725296866169,negligible,0.08223171633424857,False
num_model_files,Continuous,Mann-Whitney U,1.0648336432005681e-33,Cliff's Delta,0.12309220052535168,negligible,1.8338801632898672e-33,True
model_size_bytes,Continuous,Mann-Whitney U,2.833062558005278e-40,Cliff's Delta,0.1364623094747306,negligible,5.166172899891978e-40,True
num_root_file,Continuous,Mann-Whitney U,3.5781798102400936e-30,Cliff's Delta,0.11708471057258486,negligible,5.838082848286469e-30,True
num_modules,Continuous,Mann-Whitney U,5.848783570597895e-79,Cliff's Delta,0.14089508481081428,negligible,1.8131229068853474e-78,True
num_lists,Continuous,Mann-Whitney U,1.9487928330509025e-119,Cliff's Delta,0.22202932046139462,small,8.630368260653997e-119,True
num_static_img,Continuous,Mann-Whitney U,2.131035469731816e-05,Cliff's Delta,0.03256095971521474,negligible,2.5408499831417803e-05,True
num_animated_img,Continuous,Mann-Whitney U,6.916454616399131e-07,Cliff's Delta,0.005823527768331386,negligible,8.576403724334923e-07,True
num_github_links,Continuous,Mann-Whitney U,1.0304877140925636e-179,Cliff's Delta,0.2602929186596407,small,7.986279784217369e-179,True
num_huggingface_links,Continuous,Mann-Whitney U,1.3472792418770979e-08,Cliff's Delta,0.055917365723755996,negligible,1.740235687424585e-08,True
num_code_blk,Continuous,Mann-Whitney U,3.480612103715347e-176,Cliff's Delta,0.27748006027222905,small,2.1579795043035153e-175,True
num_inline_code,Continuous,Mann-Whitney U,2.6010965011594245e-146,Cliff's Delta,0.21811333919802486,small,1.3438998589323693e-145,True
num_table,Continuous,Mann-Whitney U,2.5579453406452643e-56,Cliff's Delta,0.13693302495474338,negligible,6.0997158123079375e-56,True
word_count_yaml,Continuous,Mann-Whitney U,4.0097808556644594e-10,Cliff's Delta,0.06413138212623164,negligible,5.404487240243402e-10,True
word_count_content,Continuous,Mann-Whitney U,4.167196701776951e-224,Cliff's Delta,0.3280352255755008,small,4.306103258502849e-223,True
has_dataset,Binary,Chi-square,0.01753813044436656,Cramér's V,0.009679258175341586,negligible,0.018747656681909083,True
match_huggingface_dataset,Binary,Chi-square,0.0047044270135151445,Cramér's V,0.01151866132726949,negligible,0.005208472764963196,True
has_safetensors,Binary,Chi-square,2.064152018613555e-62,Cramér's V,0.06794341727897442,negligible,5.3323927147516835e-62,True
has_quantized,Binary,Chi-square,3.4368951597933634e-118,Cramér's V,0.09418695403268297,negligible,1.3317968744199283e-117,True
has_license,Binary,Chi-square,4.357265973518976e-76,Cramér's V,0.07522488947881242,negligible,1.2279567743553477e-75,True
has_space,Binary,Chi-square,0.15950669150352914,Cramér's V,0.005732557137340798,negligible,0.15950669150352914,False
has_pipeline_name,Binary,Chi-square,2.929676915904232e-97,Cramér's V,0.08528654291721507,negligible,1.0091109377003466e-96,True
has_primary_implementation_library_name,Binary,Chi-square,1.8626878260282585e-46,Cramér's V,0.0583193821880172,negligible,4.124523043348287e-46,True
if_supported_libraries,Binary,Chi-square,1.0079416117488053e-16,Cramér's V,0.03383889162214197,negligible,1.42028136200968e-16,True
has_supported_additional_frameworks_Libraries,Binary,Chi-square,3.348888634907926e-25,Cramér's V,0.04226400081380699,negligible,5.190777384107285e-25,True
has_widgetData,Binary,Chi-square,4.4404251743627964e-24,Cramér's V,0.041245559284076146,negligible,6.5549133526307955e-24,True
has_config,Binary,Chi-square,6.695828999769659e-41,Cramér's V,0.05457529086970868,negligible,1.2973168687053715e-40,True
has_model_index_result,Binary,Chi-square,0.0003379405627383621,Cramér's V,0.0146064676281156,negligible,0.0003880058312921935,True
has_video,Binary,Chi-square,1.318588974342934e-42,Cramér's V,0.05575127637138951,negligible,2.7250838803087302e-42,True
has_bibtex,Binary,Chi-square,2.17585546435525e-236,Cramér's V,0.13378634996023456,small,3.372575969750637e-235,True
