Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
others,community,0.7869786226442286,0.013752981476398295,0.7598438381350232,0.8153243828303693,54671,5326
others,company,0.7118930702818321,0.007136937117634149,0.6979313057282993,0.7260358164333477,50721,9276
others,non-profit,0.717212198888968,0.01683769284481048,0.6843101782281729,0.7505532855735841,57685,2312
others,organization or individual,0.7447655253421829,0.006885359551743543,0.7307667593885182,0.7580558244107691,19278,40719
others,university,0.7338615736126999,0.013354204515551903,0.7068739922584754,0.7579605905422208,57633,2364
