Group,N,AUC_mean,AUC_std
community,5310,0.8740613861597101,0.022186982525893448
company,9264,0.8866701265791083,0.01735558522702858
non-profit,2298,0.8424026548232932,0.06652143264749825
organization or individual,40709,0.8381178800383461,0.031109977106705197
university,2420,0.7972172831087408,0.09408581808814842
