Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
Audio,Computer Vision,0.7380612935274187,0.010053550768278272,0.7188571919982368,0.7576282476322124,2172,7422
Audio,Multimodal,0.6941495056554191,0.01566600589798101,0.6621577080432545,0.7241267564868902,2172,1897
Audio,NLP,0.7051338870001413,0.006095054462734467,0.6939381581268368,0.7168884814982424,2172,28344
Audio,Other,0.6801090694232355,0.011492367497548698,0.6570443508040659,0.701699159776415,2172,20198
Computer Vision,Audio,0.7831080883691108,0.017199014589310453,0.748972621542406,0.8157497766330049,7422,2172
Computer Vision,Multimodal,0.7311476161458065,0.016453831929744624,0.6990197119756496,0.7615743167606656,7422,1897
Computer Vision,NLP,0.7331274471530688,0.006131458716652105,0.7205447220893325,0.744887826085792,7422,28344
Computer Vision,Other,0.6961662538891203,0.01106614950845004,0.6730462029933156,0.7158904447722598,7422,20198
Multimodal,Audio,0.7220131855409702,0.02034464278317697,0.6835466356785909,0.7614748438226951,1897,2172
Multimodal,Computer Vision,0.7266220868810838,0.010066137913080872,0.7050166909422945,0.7458448502371636,1897,7422
Multimodal,NLP,0.743780494749554,0.0063037439167704075,0.7317717342208911,0.7557772825685394,1897,28344
Multimodal,Other,0.6441045116848757,0.011357106827323469,0.6224272086054237,0.666564616826745,1897,20198
NLP,Audio,0.7820085902897635,0.01792324123031819,0.7444256688488161,0.814944407259285,28344,2172
NLP,Computer Vision,0.7125076123182796,0.011151408636908722,0.6905940786559825,0.7343439073673276,28344,7422
NLP,Multimodal,0.7938733059619012,0.013941716495516034,0.7665629680602453,0.8193462630350306,28344,1897
NLP,Other,0.7453925134104304,0.010165667757388811,0.7243333965502219,0.7644555739839591,28344,20198
Other,Audio,0.7020453943862117,0.02115069172817135,0.6594780692883762,0.743678497367728,20198,2172
Other,Computer Vision,0.7153390637022304,0.01064287251931203,0.6930659235661509,0.7357277878100011,20198,7422
Other,Multimodal,0.7322329663697699,0.015519358461702633,0.7006400267796079,0.7618282136139278,20198,1897
Other,NLP,0.7651955895992935,0.005649193703814725,0.7541097914967699,0.7762234483491277,20198,28344
