,community,company,non-profit,organization or individual,university
community,,0.6970196814468782,0.6843686060649155,0.724906840761638,0.6698617284666525
company,0.7236054521684544,,0.710202658961668,0.6906333848069572,0.6657333950725443
non-profit,0.7001100985920489,0.7169712426456115,,0.6918354706264667,0.6408714739438136
organization or individual,0.772896279058637,0.6914318540411172,0.6836698394372318,,0.7602575357345911
university,0.7256473008143784,0.6690521172357394,0.6743834013564484,0.7059363166248718,
