Group,N,AUC_mean,AUC_std
Audio,2172,0.8465978928884986,0.06348713151508222
Computer Vision,7422,0.8655171911088644,0.026937783777476756
Multimodal,1897,0.8540284955704678,0.05430572509459226
NLP,28344,0.8746202240806958,0.012861941503910264
Other,20198,0.8366748802181959,0.02998192692428576
