Group,N,AUC_mean,AUC_std
community,5326,0.8973512061351062,0.039773889980995875
company,9276,0.8912540867784651,0.013796233024301108
non-profit,2312,0.8197575254430365,0.044264970527379426
organization or individual,40719,0.8513926943495495,0.014198022209134182
university,2364,0.8629260679013967,0.03594751449834853
