Feature,MI_Score
model_size_bytes,0.02000391675052615
word_count_content,0.015785374755940884
num_arxiv,0.014869382930712938
has_config,0.01232366646463623
has_pipeline_name,0.012298734094023489
has_bibtex,0.01090418494797496
has_supported_additional_frameworks_Libraries,0.010147695183971628
num_code_blk,0.00994876357565122
num_github_links,0.009801039139773815
has_safetensors,0.00867279127988696
word_count_yaml,0.006632173432686628
has_license,0.00638730931646414
num_inline_code,0.0062850424356970525
num_root_file,0.005525551289616182
num_table,0.004616847215771491
has_widgetData,0.004493943390337707
has_quantized,0.0031108051748423016
num_huggingface_links,0.002764463471759848
num_lists,0.0023169846842814312
num_modules,0.0021300106152288834
num_static_img,0.0019602137030487743
match_huggingface_dataset,0.001522899670381328
num_animated_img,0.0009348890156228862
has_video,4.3017372264309017e-07
has_model_index_result,0.0
has_space,0.0
