,community,company,non-profit,organization or individual,university
community,,0.7171150518653099,0.7340673772335821,0.7237042717570085,0.67791122867844
company,0.7372239365448561,,0.7283312418973326,0.7373419477131178,0.6743266320337318
non-profit,0.6633033622357275,0.7012424726372919,,0.6272426405705844,0.626339944887625
organization or individual,0.7335779492180381,0.6791022244578717,0.7130085777595276,,0.6474589144614452
university,0.6718609651147015,0.6521711588086216,0.6832222789141038,0.6287442436725575,
