Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
others,community,0.7592331182290599,0.012386103071136429,0.7351186245400539,0.7837230354943605,54691,5310
others,company,0.7340279961430612,0.006853599879352987,0.7206387529974921,0.7479421964571749,50737,9264
others,non-profit,0.7288290157027091,0.017823792316483428,0.6948473569253801,0.763865258881527,57703,2298
others,organization or individual,0.7432856084606722,0.00711374538426006,0.728940568592005,0.7565815459276862,19292,40709
others,university,0.662740978057434,0.025342537083396205,0.613167203432241,0.711589538560669,57581,2420
